,Restaurant name,Categories,TEL/reservation,Addresses,Transportation,Operating Hours,Shop holidays,Budget,Method of payment,Table money/charge,Awards
630,Kurage(海月),"Robatayaki, Seafood, Izakaya (Tavern)",050-5597-3691      (+81-50-5597-3691)    (For reservation only)        03-6265-9292        (+81-3-6265-9292)      (For inquiry)予約可,1-chome-10-5 Kabukicho Shinjuku City Tokyo-to                                     東京都                                              新宿区                                                歌舞伎町                                              1-10-5                                          えびす会館1Ｆ                    Show larger map,JR新宿駅　東口から徒歩5分！靖国通りを抜けてさくら通り沿いにあります！304 meters from Seibu Shinjuku.,[月～土]17:00～5:00(L.O.4:00),日曜・祝日,"Dinner:￥5,000～￥5,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not Accepted,,
631,HangOut HangOver(HangOut HangOver 西武新宿Brick St.店),"Dining bar, Cafe, Steak",050-5590-8856      (+81-50-5590-8856)    (For reservation only)        03-6302-1690        (+81-3-6302-1690)      (For inquiry)予約可,1-chome-30-1 Kabukicho 新宿区 Shinjuku City Tokyo-to                                     東京都                                              新宿区                                                歌舞伎町                                              1-30-1                                          Brick St. 1F                    Show larger map,西武新宿線 西武新宿駅 徒歩2分西武新宿駅高架下33 meters from Seibu Shinjuku.,現在新型コロナウイルス感染防止の為、時間を短縮し営業しております。詳細は大切なお知らせ欄をご確認ください。＜通常営業時間＞【ランチ】11:30～17：00【ディナー】17：00～24：00（料理ラストオーダー：22:30 / ドリンクラストオーダー：23:00）Open on sundays,不定休,"Dinner:￥3,000～￥3,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、Rakuten-Edy、iD)                QR code payment Not Accepted,17時以降、お通し代として385円（税込）頂いております。,
632,odenwashokuginzaogura(おでん 和食 銀座おぐ羅 丸の内TOKIA店),"Izakaya (Tavern), Oden, Unagi (Freshwater eel)",050-5594-1396      (+81-50-5594-1396)    (For reservation only)        03-5222-7212        (+81-3-5222-7212)      (For inquiry)予約可15名様以上のご予約の場合は、お電話にてお問合せ下さい。また、お席のご指定はできかねますのでご了承下さい。,2-chome-7-3 Marunouchi Chiyoda City Tokyo-to                                     東京都                                              千代田区                                                丸の内                                              2-7-3                    東京ビルTOKIA  3F                    Show larger map,ＪＲ 東京駅 徒歩2分 地下鉄 東京駅 徒歩2分 ＪＲ 有楽町駅 国際フォーラム口 徒歩3分 （国際フォーラム前）351 meters from Nijubashimae.,【営業時間】ランチ　11：30～14：30（LO14：00）ディナー17：00～23：00（LO22：00）(現在日曜休)※状況により変更の可能性があります。---------【月～日】ランチ　11:30～14:30（L.O.14:00） 【月～金】ディナー　17:30～23:00（L.O.22:00）【土・祝】17:00～22:00（L.O.21:00）,不定休,"Dinner:￥4,000～￥4,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、iD、QUICPay)                QR code payment Accepted                    (PayPay、d Barai、Rakuten Pay、au PAY),,
633,METROPOLITAN GRILL( 「メトロポリタングリル」 ヒルトン東京),"Steak, Burger, Seafood",050-5570-6676      (+81-50-5570-6676)    (For reservation only)        03-3344-5111        (+81-3-3344-5111)      (For inquiry)予約可ご予約人数は、4歳以上の人数をご入力いただき、要望欄に別途幼児の人数をご記入ください。（例）3歳1名,Nishishinjuku Shinjuku City Tokyo                                     東京都                                              新宿区                                                西新宿                                              6-6-2                    ヒルトン東京 　２Ｆ                    Show larger map,地下鉄丸ノ内線西新宿駅 Ｃ８出口 徒歩2分地下鉄都営大江戸線都庁前駅 徒歩3分ＪＲ新宿駅 西口 徒歩10分西新宿駅から258m都庁前駅から258m258 meters from Tochomae.,ランチ：11:30～14:30（L.O. 14:00）お肉アフタヌーンティー：15:00～17:00ディナー：18:00～22:00（L.O. 21:00）Open on sundays,無休,"Dinner:￥10,000～￥14,999Lunch:￥3,000～￥3,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Not Accepted,,
634,Bamboo grassy(鉄板焼キュイジーヌ バンブー グラッシィ 恵比寿店),"Steak, Teppanyaki, Okonomiyaki",050-5890-3763      (+81-50-5890-3763)    (For reservation only)        03-5739-0527        (+81-3-5739-0527)      (For inquiry)予約可電話の繋がるお時間は13:00～24:00です。⚠︎お店から連絡確認が取れない場合、予約をキャンセルさせていただくことがあります⚠︎※ご予約の変更・キャンセルは、必ず事前にお電話でご連絡下さい。※デザートプレートをご希望のお客様は必ず詳細をご確認下さい。※お席のご希望に関しまして必ずご希望のお席をご用意できるとは限りませんので、心配な場合は電話での確認をお願い致します。,3-chome-9-29 Ebisu Shibuya City Tokyo-to                                     東京都                                              渋谷区                                                恵比寿                                              3-9-29                                          シェビア恵比寿 B1F                    Show larger map,JR恵比寿駅　徒歩8分。スカイウォーク恵比寿ガーデンプレイス口を出て左折、交番のある信号を左折し、坂を５０ｍほど下ってきていただいた右側の動物病院が1階にある建物の地下1階588 meters from Ebisu.,［月〜日］Lunch　11:30〜15:00（L.O14:00）Dinner　17:00～24:00 (L.O.23:00）※電話の繋がるお時間は13:00～24:00です。※ネット予約が満席の場合でも、一度お電話にてご確認ください。お席のご用意ができることがございます。Open on sundays,不定休※年末年始 (31日～翌年2日まで)休み,"Dinner:￥8,000～￥9,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、Rakuten-Edy、nanaco、WAON、iD、QUICPay)                QR code payment Not Accepted,サービス料　10％（Dinnerのみ）,
635,Ajiandainingushina(アジアンダイニング SEANA),"Thailand cooking, Izakaya (Tavern), Dining bar",050-5571-3775      (+81-50-5571-3775)    (For reservation only)        03-6228-6480        (+81-3-6228-6480)      (For inquiry)予約可,3-chome-2-15 Ginza Chuo City Tokyo                                     東京都                                              中央区                                                銀座                                              3-2-15                                          銀座グラッセ 8F                    Show larger map,東京メトロ銀座駅C8出口から徒歩1分JR有楽町駅中央口から徒歩3分155 meters from Ginza.,11:00～23:00(L.O. FOOD22:00 DRINK:22:30）Open on sundays,なし,"Dinner:￥4,000～￥4,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted,なし,
636,Kuruma(車 丸の内店),"Yakitori (Grilled chicken), Izakaya (Tavern), Nihonshu (Japanese sake)",050-5872-3679      (+81-50-5872-3679)    (For reservation only)        03-3216-0022        (+81-3-3216-0022)      (For inquiry)予約可◆◆半個室のご予約変更は必ずお電話にてお願い致します◆◆ネットでのご変更は席状況によりお受けできない場合がございますので、ご協力の程よろしくお願い致します。※カウンター席のご予約は、店舗の状況によりテーブル席へのご案内になる可能性もございます。◆◆4月以降のご予約をされるお客様へ◆◆2020.4.1より全店禁煙とさせて頂きます。予めご了承くださいませ。,2-chome-7-3 Marunouchi Chiyoda City Tokyo-to                                     東京都                                              千代田区                                                丸の内                                              2-7-3                    東京ビルTOKIA  B1F                    Show larger map,JR東京駅　徒歩5分　地下鉄東京駅　徒歩5分　JR有楽町駅　国際フォーラム口　徒歩3分　（国際フォーラム前）351 meters from Nijubashimae.,▼まん延防止等重点措置の解除につき、通常通り営業しております。【全日】ランチ11:00〜14:30(LO14:00)ディナー17:00〜23:30(LO23:00)Open on sundays,年末年始のみ,"Dinner:￥3,000～￥3,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master、JCB)                Electronic money Accepted                    (Transportation electronic money(Suica))                QR code payment Not Accepted,お通し代なし、チャージ料なし,
637,Yakinikumichimori(焼肉 道盛),"Yakiniku (BBQ Beef), Horumon (BBQ Offel), Steak",050-5597-9972      (+81-50-5597-9972)    (For reservation only)        03-5335-7757        (+81-3-5335-7757)      (For inquiry)予約可,1-chome-15-5 Kamiogi Suginami City Tokyo-to                                     東京都                                              杉並区                                                上荻                                              1-15-5                    Show larger map,JR荻窪駅【西口】徒歩3分178 meters from Ogikubo.,11:00～22:30 （料理L.O.      22:00  ドリンクL.O. 22:10)Open on sundays,無休,"Dinner:￥6,000～￥7,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、iD、QUICPay)                QR code payment Not Accepted,なし,
638,tougou(東郷),"Kappo (Traditional Japanese), Creative cuisine, Soba",050-5456-2032      (+81-50-5456-2032)    (For reservation only)        03-6812-9250        (+81-3-6812-9250)      (For inquiry)予約可,2-chome-26-32 Minamiaoyama Minato City Tokyo-to                                     東京都                                              港区                                                南青山                                              2-26-32                                          セイザン 14F                                      This shop has moved from 「港区元麻布1–3–2」.                  *Information before relocation is not updated.                See shop information before relocationShow larger map,東京メトロ「外苑前」駅より徒歩2分。95 meters from Gaiemmae.,[ランチ]11:30～15:00 (L.O. 14:00)火曜から日曜[ディナー]18:00～23:00 （L.O. 21:30）火曜から日曜Open on sundays,月曜日,"Dinner:￥15,000～￥19,999Lunch:￥2,000～￥2,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not Accepted,サービス料10%,
639,Haneuo(跳魚 品川店),"Izakaya (Tavern), Seafood, Nihonshu (Japanese sake)",03-5783-0202      (+81-3-5783-0202)    予約可,Konan Minato City Tokyo                                     東京都                                              港区                                                港南                                              2-5-3                                          オリックス品川ビル　Ｂ１Ｆ                    Show larger map,JR品川駅港南口 徒歩2分駅を背にして、エスカレータで降りていただき、広場を通過！そのまま直進していただき、最初の十字路の右手にセブンイレブンが見えますのでそこの脇の階段を下りていただくと到着！383 meters from Shinagawa.,【営業時間】17:00～23：30（LO22：30）Open on sundays,年末年始（12月31日～1月2日まで休み）,"Dinner:￥5,000～￥5,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Accepted                    (PayPay),お通し代：単品ご注文のお客様500円税込、コースでのご予約の場合は頂いておりません。,
640,Tontonteji(とん豚テジ 目黒店),"Yakiniku (BBQ Beef), Korean cuisine, Izakaya (Tavern)",050-5890-1972      (+81-50-5890-1972)    (For reservation only)        03-5487-5003        (+81-3-5487-5003)      (For inquiry)予約可,1-chome-2-22 Shimomeguro Meguro City Tokyo-to                                     東京都                                              目黒区                                                下目黒                                              1-2-22                                          B1                    Show larger map,ＪＲ目黒駅 徒歩2分179 meters from Meguro.,通常は平日17:00～23:00　土日祝16:00～23:00※まん延防止措置中は、営業21:00までお酒類20:00までOpen on sundays,毎週月曜日　年末年始は休ませて頂きます。,"Dinner:￥3,000～￥3,999Lunch:～￥999",Credit Cards Accepted                  (VISA、JCB、AMEX、Diners、Master)                Electronic money Not Accepted,,
641,MOELLEUSE(モワルーズ),"French, Wine bar, Bistro",050-5596-3868      (+81-50-5596-3868)    (For reservation only)        03-3454-6010        (+81-3-3454-6010)      (For inquiry)予約可,Minamiazabu Minato City Tokyo                                     東京都                                              港区                                                南麻布                                              1-5-4                                          NKCビルディング 2F                                      This shop has moved from 「港区南麻布1-4-18」.                  *Information before relocation is not updated.                See shop information before relocationShow larger map,東京メトロ南北線　都営大江戸線  麻布十番駅　1番出口　徒歩4分465 meters from Azabu Juban.,[火～日]　18：00～24：00ランチの貸切は応相談Open on sundays,月曜休（祝日の場合は火曜休）,"Dinner:￥8,000～￥9,999",Credit Cards Accepted                  (VISA、Master、AMEX、Diners),チャージ、サービス料なし,
642,yakinikuitami(焼肉 いたみ 学芸大学店),"Yakiniku (BBQ Beef), Horumon (BBQ Offel), Korean cuisine",050-5456-7051      (+81-50-5456-7051)    (For reservation only)        03-3712-4329        (+81-3-3712-4329)      (For inquiry)予約可,3-chome-1-6 Takaban Meguro City Tokyo-to                                     東京都                                              目黒区                                                鷹番                                              3-1-6                                          高橋ビル1F                    Show larger map,学芸大学駅東口から徒歩30秒65 meters from Gakugei Daigaku.,[平日]16:00〜23:00(LO22:30)[土日祝日]11:00〜14:00、16：00～23:00(LO22:30)※祝日での変更あり　状況により変更ありOpen on sundays,月曜(祝日の場合は火曜),"Dinner:￥4,000～￥4,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Not Accepted,なし,
643,nappagochisou(なっぱごちそう 五反田),"Izakaya (Tavern), Dining bar, Creative cuisine",050-5595-3039      (+81-50-5595-3039)    (For reservation only)        03-6417-0369        (+81-3-6417-0369)      (For inquiry)予約可食べログが満席でも電話やLINE（www.nappa-juicy.com）にてご予約を承れる事がございますので、お気軽にお問い合わせください。当日14時以降のお問い合わせはお電話にてお願いいたします。キャンセルポリシーnappa-juicy.com/cancel全席禁煙席となります。,Nishigotanda Shinagawa City Tokyo                                     東京都                                              品川区                                                西五反田                                              1-16-1                                          菅原ビル 3F                    Show larger map,五反田駅西口から3分大崎橋を渡って最初の信号を左折「菅原ビル」３階「紳士服のAOKI」の右の道を直進（間違って非常ベルを押す前にお電話を）看板がないので迷ったらお電話ください158 meters from Osakihirokoji.,定休日：土曜、日曜、祝日営業時間：17〜23:30※12～17時は前日までにご予約をいただければ営業致します。お食事L.O：22:30デザート、ドリンク：L.O23時,土曜、日曜、祝日,"Dinner:￥4,000～￥4,999Lunch:￥4,000～￥4,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、Rakuten-Edy、nanaco、WAON、iD、QUICPay)                QR code payment Accepted                    (PayPay、Rakuten Pay),お通し580円(税込638円)　コース料理をご予約の場合、お通し料金はかかりません,
644,Ebisujingisukankuragebetteigoyoutei(えびすジンギスカン 海月別邸 御羊邸),"Genghis Khan (BBQ Rum), Yakiniku (BBQ Beef), Izakaya (Tavern)",050-5594-9886      (+81-50-5594-9886)    (For reservation only)        03-6427-8956        (+81-3-6427-8956)      (For inquiry)予約可ご予約状況によっては、ご希望のお席以外でのご案内とさせていただく場合がございます。ご了承くださいませ。,1-chome-8-10 Ebisunishi Shibuya City Tokyo-to                                     東京都                                              渋谷区                                                恵比寿西                                              1-8-10                                          高橋ビル 2F                    Show larger map,ＪＲ 恵比寿駅 徒歩1分地下鉄日比谷線 恵比寿駅 徒歩1分150 meters from Ebisu.,17:00～24:00（L.O.23:00）Open on sundays,定休日なし,"Dinner:￥3,000～￥3,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master)                Electronic money Not Accepted,テーブルチャージ400円,
645,Enraku(縁楽),"Mizutaki, Kappo (Traditional Japanese), Izakaya (Tavern)",050-5456-5057      (+81-50-5456-5057)    (For reservation only)        03-6280-7131        (+81-3-6280-7131)      (For inquiry)予約可※貸切は14名様以上から承ります。店舗までご相談ください。,2-chome-21 Kagurazaka Shinjuku City Tokyo-to                                     東京都                                              新宿区                                                神楽坂                                              2-21-5                                          小栗横丁ビル 3F                    Show larger map,地下鉄有楽町線・南北線・東西線・大江戸線 飯田橋駅B3出口より徒歩3分JR総武線・飯田橋駅西口より徒歩6分358 meters from Iidabashi.,[火～日]17：00～2：00Open on sundays,月曜,"Dinner:￥5,000～￥5,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Not Accepted,席のみ:440円　八寸付き:1100円,
646,Nobosemon(のぼせもん),"Izakaya (Tavern), Yakitori (Grilled chicken), Motsu Nabe (Offel Hot Pot)",050-5890-5801      (+81-50-5890-5801)    (For reservation only)        03-6280-6858        (+81-3-6280-6858)      (For inquiry)予約可お電話にてご予約下さい。,5-chome-9-5 Ginza Chuo City Tokyo-to                                     東京都                                              中央区                                                銀座                                              5-9-5                                          チアーズ銀座7F                    Show larger map,東京メトロ日比谷線、銀座線、丸の内線「銀座」駅 Ａ５出口から徒歩1分。または、都営地下鉄浅草線「東銀座」駅 Ａ１出口から徒歩２分。193 meters from Higashi Ginza.,火曜日〜水曜日17時〜3時木曜日〜金曜日17時〜5時月曜日と土曜日17時〜23時30分,正月・お盆・大型連休,"Dinner:￥4,000～￥4,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money AcceptedQR code payment Accepted                    (PayPay),ディナー：席のみ予約に限りチャージ500円/人(お通し込・サービス料なし),
647,oroshishinjukushokunikusenta-kiwame(卸)新宿食肉センター極 恵比寿店),"Yakiniku (BBQ Beef), Horumon (BBQ Offel), Sukiyaki",050-5890-3312      (+81-50-5890-3312)    (For reservation only)        03-6721-7110        (+81-3-6721-7110)      (For inquiry)予約可,1-chome-11-9 Ebisu Shibuya City Tokyo                                     東京都                                              渋谷区                                                恵比寿                                              1-11-9                                          グランベル恵比寿 2F                    Show larger map,JR恵比寿駅　徒歩2分地下鉄日比谷線恵比寿駅　徒歩３分137 meters from Ebisu.,11:30～25：00(L.O24：00)食べ放題ランチ受付　11:30～15:00(L.O14:30)Open on sundays,年末年始,"Dinner:￥4,000～￥4,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Not Accepted,,
648,Kuaruto(トラットリア クアルト 池袋),"Italian, Bistro, Pasta",050-5456-8424      (+81-50-5456-8424)    (For reservation only)        03-6914-0137        (+81-3-6914-0137)      (For inquiry)予約可,2-chome-26-10 Minamiikebukuro Toshima City Tokyo-to                                     東京都                                              豊島区                                                南池袋                                              2-26-10                                          アクティオーレ南池袋 4F                    Show larger map,＜パターンA＞①池袋【西武東口】で待ち合わせ②正面の横断歩道を渡って右折(ドン・キホーテ方面へ)③最初の交差点を左折④左手前にファミリーマート、右奥にファミリーマートの交差点を渡る⑤交差点を渡った先にあるファミリーマートの並びにある建物(2階にびっくりドンキー)　の4階にトラットリアクアルトはございます！(目の前は池袋南公園)325 meters from Ikebukuro.,【営業時間】11:30～15:00(LO14:00)18:00～23:00(FOOD LO.22：00/DRINK LO. 22:30)※21時まで入店可Open on sundays,年末年始(12/31～1/3),"Dinner:￥4,000～￥4,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Not Accepted,ディナータイムのみテーブルチャージ(お通し)として300円を頂戴しております,
649,PIZZERIA OSTERIA CAPO(ピッツェリア オステリア カポ),"Italian, Pizza, Dining bar",050-5872-9303      (+81-50-5872-9303)    (For reservation only)        03-3843-8787        (+81-3-3843-8787)      (For inquiry)予約可,1-chome-9-9 Nishiasakusa Taito City Tokyo                                     東京都                                              台東区                                                西浅草                                              1-9-9                    Show larger map,地下鉄銀座線 浅草駅 1番出口 徒歩10分都営浅草線 浅草駅 A4番出口 徒歩10分つくばエクスプレス 浅草駅 4番出口 徒歩5分地下鉄銀座線 田原町駅 3番出口 徒歩3分224 meters from Tawaramachi.,ランチ11:30-15:00ディナー17:00-23:00Open on sundays,不定休,"Dinner:￥6,000～￥7,999Lunch:￥3,000～￥3,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica))                QR code payment Accepted                    (PayPay),なし,
650,sendaigyuusumibiyakisute-kieransu(仙台牛炭火焼ステーキ ELANCE),"Steak, Yakiniku (BBQ Beef), Teppanyaki",050-5589-3323      (+81-50-5589-3323)    (For reservation only)        03-6447-0492        (+81-3-6447-0492)      (For inquiry)完全予約制,2-chome-5-1 Azabujuban Minato City Tokyo                                     東京都                                              港区                                                麻布十番                                              2-5-1                                          マニヴィア麻布十番 9F                    Show larger map,東京メトロ南北線　　麻布十番駅　A4出口徒歩5分都営地下鉄大江戸線　麻布十番駅　A7出口徒歩5分241 meters from Azabu Juban.,17:00～23:00（最終入店21:00）当面の間、ご来店予定前日迄の事前予約制での営業とさせて頂きます。ご迷惑をお掛けいたしますが、何卒ご理解の程宜しくお願い致します。,日曜日,"Dinner:￥20,000～￥29,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Not Accepted,サービス10％,
651,Dippalace(ディップパレス 神楽坂店),"India cuisine, Thailand cooking, Indian curry",050-5590-2079      (+81-50-5590-2079)    (For reservation only)        03-3260-3290        (+81-3-3260-3290)      (For inquiry)予約可・Go to EATでのご予約はテイクアウトはご利用いただけません。,1 Iwatocho Shinjuku City Tokyo-to                                     東京都                                              新宿区                                                岩戸町                                              1                                          M's神楽坂 1F                    Show larger map,JR総武線・中央線「飯田橋駅」より徒歩約8分東京メトロ東西線「神楽坂駅」より徒歩約5分東京メトロ南北線・有楽町線「飯田橋駅」より徒歩約10分都営大江戸線「牛込神楽坂駅」より徒歩約1分312 meters from Ushigome Kagurazaka.,ランチ:11:00〜16:30ディナー:16:30〜23:00 (LO.22:30)Open on sundays,無休,"Dinner:￥2,000～￥2,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Accepted                    (PayPay),,
652,yakitonsakabaakihabaratorahachi(やきとん酒場 秋葉原とら八),"Izakaya (Tavern), Grilled pork, Yakitori (Grilled chicken)",050-5869-3657      (+81-50-5869-3657)    (For reservation only)        03-5820-0388        (+81-3-5820-0388)      (For inquiry)予約可,2-chome-17 Kanda Sakumacho Chiyoda City Tokyo-to                                     東京都                                              千代田区                                                神田佐久間町                                              2-17                    Show larger map,JR秋葉原駅 徒歩1分・地下鉄日比谷線秋葉原駅 徒歩1分・地下鉄都営新宿線岩本町駅 徒歩3分222 meters from Akihabara.,【平日・土曜】16:00－23:30【日曜・祝日】16:00－23:00年中無休Open on sundays,年末年始,"Dinner:￥2,000～￥2,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money AcceptedQR code payment Accepted,,
653,Jingisukankirishima(ジンギスカン霧島 浅草店),"Yakiniku (BBQ Beef), Genghis Khan (BBQ Rum), Izakaya (other)",03-3842-6655      (+81-3-3842-6655)    予約可,1-chome-43-9 Asakusa Taito City Tokyo-to                                     東京都                                              台東区                                                浅草                                              1-43-9                                          レクス浅草 3F                    Show larger map,つくばエクスプレス 浅草駅 徒歩1分東武伊勢崎線 浅草駅 徒歩7分地下鉄銀座線 田原町駅 徒歩7分都営浅草線 浅草駅 徒歩8分58 meters from Asakusa.,【平日】ランチ11:30～15:00(LO.14:30)【平日】ディナー17:00～22:00(LO.21:15)【土日祝】ランチ11:30～15:00(LO.15:00)【土日祝】ディナー15:00～22:00(LO.21:15)Open on sundays,月曜定休。2022年7月18日（月）は営業、7月19日（火）はお休みとさせていただきます。,"Dinner:￥3,000～￥3,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Not Accepted,,
654,Kanzenkoshitsuizakayanagomiya(完全個室居酒屋 なごみ屋 八重洲店),"Izakaya (Tavern), Dining bar, Motsu Nabe (Offel Hot Pot)",050-5457-6806      (+81-50-5457-6806)    (For reservation only)        03-4545-0016        (+81-3-4545-0016)      (For inquiry)予約可,3-chome-3-14 Nihonbashi Chuo City Tokyo-to                                     東京都                                              中央区                                                日本橋                                              3-3-14                                          けやき弥ビル 1F                    Show larger map,地下鉄銀座線 日本橋駅 徒歩4分ＪＲ 東京駅 徒歩4分361 meters from Tokyo.,12:00～23:30（L.O.22:30、ドリンクL.O.23:00）Open on sundays,年中無休,"Dinner:￥3,000～￥3,999Lunch:￥2,000～￥2,999",Credit Cards Accepted                  (VISA、Master)                Electronic money Not Accepted,,
655,Ootsukanorengainikubisutoroenzoobiwaio(大塚のれん街 ニクビストロ ENZO BYO),"Bar, Izakaya (Tavern), Meat bar",050-5457-2394      (+81-50-5457-2394)    (For reservation only)        03-5972-1580        (+81-3-5972-1580)      (For inquiry)予約可,2-chome-28-4 Kitaotsuka Toshima City Tokyo-to                                     東京都                                              豊島区                                                北大塚                                              2-28-4                    Show larger map,ＪＲ 大塚駅 徒歩4分都電荒川線 大塚駅前駅 徒歩4分199 meters from Otsuka Ekimae.,17：00～24：00(L.O.23：30),日・祝日,"Dinner:￥3,000～￥3,999",Credit Cards Accepted                  (VISA、Master、JCB)                Electronic money AcceptedQR code payment Accepted                    (PayPay),お通し代330円(税込)【宴会飲み放題コースをご利用の方はかかりません。】,
656,Kunseiya KEN(燻製屋 KEN),Bread sandwich (other),050-5872-0458      (+81-50-5872-0458)    (For reservation only)        080-6542-6008        (+81-80-6542-6008)      (For inquiry)予約可,1-chome-2-25 Tamagawa Ota City Tokyo             東京都→大田区多摩川1-2-25Show larger map,【店舗へお越しの場合】東急多摩川線　矢口渡駅　徒歩3分　(環状8号線方面)【キッチンカーへお越しの場合】店舗トップページの「お店からの大切なお知らせ」をご覧ください159 meters from Yaguchi no Watashi.,【店舗】ランチ　　11:00～15:00   ディナー　17:00～21:00【キッチンカー】店舗トップページの「お店からの大切なお知らせ」をご覧くださいOpen on sundays,月曜日,"Dinner:￥1,000～￥1,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、iD、QUICPay)                QR code payment Accepted                    (PayPay、d Barai、Rakuten Pay、au PAY),,
657,HARD ROCK CAFE TOKYO(ハードロックカフェ　東京),"American, Burger, Bar",050-5868-5403      (+81-50-5868-5403)    (For reservation only)        03-3408-7018        (+81-3-3408-7018)      (For inquiry)予約可満席、貸切の際には御予約をお断りする可能性がございます。,Roppongi Minato City Tokyo                                     東京都                                              港区                                                六本木                                              5-4-20                    Show larger map,地下鉄・日比谷線、大江戸線「六本木駅」 徒歩5分都営バス（六本木駅前）下車　徒歩5分298 meters from Roppongi.,"月～金 11:30~22:00 (フードラストオーダー21:00, ドリンクラストオーダー21:30)土日祝 11:30~22:00 (フードラストオーダー21:00, ドリンクラストオーダー21:30)Open on sundays",無し,"Dinner:￥3,000～￥3,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、JCB、AMEX、Master、Diners)                Electronic money AcceptedQR code payment Not Accepted,16時以降 サービス料10％,
658,Ebisudedesuke(恵比寿でですけ),"Izakaya (Tavern), Asian & ethnic cuisine (and others), Yakitori (Grilled chicken)",050-5868-6441      (+81-50-5868-6441)    (For reservation only)        03-3444-5511        (+81-3-3444-5511)      (For inquiry)予約可,1-chome-8-14 Ebisu Shibuya City Tokyo-to                                     東京都                                              渋谷区                                                恵比寿                                              1-8-14                                          大黒ビル　２Ｆ                    Show larger map,恵比寿駅西口徒歩３０秒89 meters from Ebisu.,【営業時間】▶︎全日　　　16:00～23:00(L.O  22:30)       ▶金曜のみ　16:00～23:30(L.O 23:00) 200席ならではの広さを十分に使い、ゆったり安心して頂けるようソーシャルディスタンスを保てるお席でご案内させて頂きます。Open on sundays,無,"Dinner:￥3,000～￥3,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、Rakuten-Edy、nanaco、WAON、iD、QUICPay)                QR code payment Accepted                    (PayPay、d Barai、Rakuten Pay、au PAY),,
